,mean rating,number of ratings,title
0,3.4,5,"Yards, The (2000)"
1,3.25,6,Next Friday (2000)
2,2.0,4,Supernova (2000)
3,2.0,4,Down to You (2000)
4,2.6724137931034484,29,Scream 3 (2000)
5,4.22093023255814,43,"Boondock Saints, The (2000)"
6,1.0,1,Gun Shy (2000)
7,3.0625,32,"Beach, The (2000)"
8,2.3,5,Snow Day (2000)
9,3.1666666666666665,3,"Tigger Movie, The (2000)"
10,3.7142857142857144,21,Boiler Room (2000)
11,2.6666666666666665,3,Hanging Up (2000)
12,3.5641025641025643,39,Pitch Black (2000)
13,3.5238095238095237,42,"Whole Nine Yards, The (2000)"
14,5.0,1,Black Tar Heroin: The Dark End of the Street (2000)
15,2.4615384615384617,13,Reindeer Games (2000)
16,3.659090909090909,22,Wonder Boys (2000)
17,4.0,1,Chain of Fools (2000)
18,1.3333333333333333,3,Drowning Mona (2000)
19,2.1666666666666665,3,"Next Best Thing, The (2000)"
20,3.1666666666666665,3,What Planet Are You From? (2000)
21,4.5,1,"Closer You Get, The (2000)"
22,2.6904761904761907,21,Mission to Mars (2000)
23,3.5285714285714285,70,Erin Brockovich (2000)
24,2.9285714285714284,35,Final Destination (2000)
25,3.0833333333333335,18,Romeo Must Die (2000)
26,3.0,2,Here on Earth (2000)
27,2.25,2,Whatever It Takes (2000)
28,3.6666666666666665,75,High Fidelity (2000)
29,3.1153846153846154,13,"Road to El Dorado, The (2000)"
30,2.75,10,"Skulls, The (2000)"
31,3.4166666666666665,36,Frequency (2000)
32,2.25,6,Ready to Rumble (2000)
33,3.5625,8,Return to Me (2000)
34,3.0714285714285716,7,Rules of Engagement (2000)
35,3.0,1,Joe Gould's Secret (2000)
36,3.611111111111111,9,Me Myself I (2000)
37,3.3,25,28 Days (2000)
38,3.788135593220339,59,American Psycho (2000)
39,3.4523809523809526,21,Keeping the Faith (2000)
40,3.3333333333333335,3,Where the Money Is (2000)
41,3.25,2,"Filth and the Fury, The (2000)"
42,2.4,5,Gossip (2000)
43,3.0,3,Love and Basketball (2000)
44,3.4242424242424243,33,U-571 (2000)
45,2.5,3,"Crow: Salvation, The (2000)"
46,1.625,12,"Flintstones in Viva Rock Vegas, The (2000)"
47,3.5,7,Where the Heart Is (2000)
48,2.875,8,"Big Kahuna, The (2000)"
49,5.0,1,Bossa Nova (2000)
50,3.0,2,Time Code (2000)
51,3.9382352941176473,170,Gladiator (2000)
52,3.5,2,Up at the Villa (2000)
53,1.6578947368421053,19,Battlefield Earth (2000)
54,3.25,6,Center Stage (2000)
55,1.0,1,Screwed (2000)
56,2.0,2,Whipped (2000)
57,3.0,3,Hamlet (2000)
58,3.107142857142857,14,Dinosaur (2000)
59,3.3,10,Loser (2000)
60,3.0853658536585367,41,Road Trip (2000)
61,3.5416666666666665,12,Small Time Crooks (2000)
62,2.7142857142857144,77,Mission: Impossible II (2000)
63,3.1511627906976742,43,Shanghai Noon (2000)
64,2.176470588235294,17,Big Momma's House (2000)
65,3.221311475409836,61,Gone in 60 Seconds (2000)
66,3.0,2,Love's Labour's Lost (2000)
67,2.0,3,Boys and Girls (2000)
68,2.6578947368421053,19,Shaft (2000)
69,3.413793103448276,29,Titan A.E. (2000)
70,3.551282051282051,78,Chicken Run (2000)
71,3.0869565217391304,46,"Me, Myself & Irene (2000)"
72,3.448529411764706,68,"Patriot, The (2000)"
73,2.2222222222222223,9,"Adventures of Rocky and Bullwinkle, The (2000)"
74,3.1704545454545454,44,"Perfect Storm, The (2000)"
75,4.0,1,"Golden Bowl, The (2000)"
76,2.590909090909091,11,"Kid, The (2000)"
77,2.92,50,Scary Movie (2000)
78,4.0,2,Groove (2000)
79,3.699248120300752,133,X-Men (2000)
80,2.5,2,Chuck & Buck (2000)
81,2.6666666666666665,3,"In Crowd, The (2000)"
82,3.2,25,What Lies Beneath (2000)
83,1.5833333333333333,6,Pokémon the Movie 2000 (2000)
84,2.28125,16,Nutty Professor II: The Klumps (2000)
85,2.409090909090909,11,Autumn in New York (2000)
86,2.7413793103448274,29,Coyote Ugly (2000)
87,2.2948717948717947,39,Hollow Man (2000)
88,2.891304347826087,23,Space Cowboys (2000)
89,1.5,2,Psycho Beach Party (2000)
90,3.909090909090909,11,Saving Grace (2000)
91,5.0,1,I'm the One That I Want (2000)
92,3.3846153846153846,13,"Tao of Steve, The (2000)"
93,4.0,1,Bless the Child (2000)
94,3.5,5,Cecil B. DeMented (2000)
95,3.75,2,"Eyes of Tammy Faye, The (2000)"
96,2.6842105263157894,19,"Replacements, The (2000)"
97,3.75,2,About Adam (2000)
98,3.0444444444444443,45,"Cell, The (2000)"
99,3.25,4,"Original Kings of Comedy, The (2000)"
100,2.0,2,"Art of War, The (2000)"
101,2.6911764705882355,34,Bring It On (2000)
102,1.5,3,"Crew, The (2000)"
103,4.0,1,Skipped Parts (2000)
104,2.25,6,Highlander: Endgame (Highlander IV) (2000)
105,3.3421052631578947,19,Nurse Betty (2000)
106,1.5,1,"Watcher, The (2000)"
107,3.125,8,"Way of the Gun, The (2000)"
108,3.8674698795180724,83,Almost Famous (2000)
109,2.5,2,Bait (2000)
110,1.0,1,Circus (2000)
111,4.0,1,Crime and Punishment in Suburbia (2000)
112,3.25,2,Duets (2000)
113,2.5,2,Under Suspicion (2000)
114,1.5,3,Urban Legends: Final Cut (2000)
115,2.0,4,Woman on Top (2000)
116,3.975,20,Dancer in the Dark (2000)
117,3.688679245283019,53,Best in Show (2000)
118,2.5,2,Beautiful (2000)
119,4.0,1,"Broken Hearts Club, The (2000)"
120,3.6666666666666665,6,Girlfight (2000)
121,3.7439024390243905,41,Remember the Titans (2000)
122,2.9375,8,Bamboozled (2000)
123,3.0,1,Digimon: The Movie (2000)
124,2.5,5,Get Carter (2000)
125,3.4175824175824174,91,Meet the Parents (2000)
126,3.921875,96,Requiem for a Dream (2000)
127,3.5625,8,Tigerland (2000)
128,5.0,1,Two Family House (2000)
129,3.0714285714285716,7,"Contender, The (2000)"
130,2.125,4,Dr. T and the Women (2000)
131,1.5833333333333333,6,"Ladies Man, The (2000)"
132,3.8513513513513513,37,Billy Elliot (2000)
133,3.074074074074074,27,Bedazzled (2000)
134,3.4423076923076925,26,Pay It Forward (2000)
135,1.125,4,Book of Shadows: Blair Witch 2 (2000)
136,3.0,1,"Little Vampire, The (2000)"
137,2.7222222222222223,72,Charlie's Angels (2000)
138,3.066666666666667,15,"Legend of Bagger Vance, The (2000)"
139,2.5,24,Little Nicky (2000)
140,3.392857142857143,14,Men of Honor (2000)
141,2.3461538461538463,13,Red Planet (2000)
142,4.166666666666667,9,You Can Count on Me (2000)
143,2.8,20,"6th Day, The (2000)"
144,2.4166666666666665,6,Bounce (2000)
145,3.0454545454545454,33,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000)
146,2.25,4,Rugrats in Paris: The Movie (2000)
147,2.7777777777777777,9,102 Dalmatians (2000)
148,3.7,5,Malèna (2000)
149,3.0,6,Quills (2000)
150,3.4794520547945207,73,Unbreakable (2000)
151,3.8363636363636364,110,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
152,1.8333333333333333,12,Dungeons & Dragons (2000)
153,3.0416666666666665,12,Proof of Life (2000)
154,2.607142857142857,14,Vertical Limit (2000)
155,4.155913978494624,93,Snatch (2000)
156,3.521276595744681,47,Chocolat (2000)
157,2.727272727272727,33,"Dude, Where's My Car? (2000)"
158,3.7162162162162162,37,"Emperor's New Groove, The (2000)"
159,3.5357142857142856,14,Pollock (2000)
160,3.138888888888889,54,What Women Want (2000)
161,3.7142857142857144,28,Finding Forrester (2000)
162,2.923076923076923,13,"Gift, The (2000)"
163,4.3,5,Before Night Falls (2000)
164,3.7,100,Cast Away (2000)
165,3.130434782608696,23,"Family Man, The (2000)"
166,2.1666666666666665,3,"House of Mirth, The (2000)"
167,3.0546875,64,Miss Congeniality (2000)
168,3.8085106382978724,94,"O Brother, Where Art Thou? (2000)"
169,3.875,12,State and Main (2000)
170,1.8,5,Dracula 2000 (2000)
171,2.5,2,All the Pretty Horses (2000)
172,4.0,1,"Everlasting Piece, An (2000)"
173,3.923076923076923,13,Thirteen Days (2000)
174,3.9,70,Traffic (2000)
175,2.8333333333333335,3,"Claim, The (2000)"
176,3.1363636363636362,11,Shadow of the Vampire (2000)
177,3.5625,8,Antitrust (2001)
178,2.5,2,Double Take (2001)
179,2.84375,16,Save the Last Dance (2001)
180,4.0,2,Panic (2000)
181,3.2857142857142856,7,"Pledge, The (2001)"
182,2.7142857142857144,7,Sugar & Spice (2001)
183,2.909090909090909,22,"Wedding Planner, The (2001)"
184,4.5,2,"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)"
185,2.5,4,Head Over Heels (2001)
186,4.25,2,Left Behind: The Movie (2000)
187,3.5,1,Valentine (2001)
188,4.214285714285714,14,In the Mood For Love (Fa yeung nin wa) (2000)
189,3.0,3,"Million Dollar Hotel, The (2001)"
190,4.0,2,Nico and Dani (Krámpack) (2000)
191,2.9358974358974357,39,Hannibal (2001)
192,2.772727272727273,11,Saving Silverman (Evil Woman) (2001)
193,4.25,2,Vatel (2000)
194,2.4166666666666665,12,Down to Earth (2001)
195,4.0,2,Recess: School's Out (2001)
196,3.3125,8,Sweet November (2001)
197,2.0,1,Company Man (2000)
198,4.5,1,"Price of Milk, The (2000)"
199,2.0833333333333335,6,Monkeybone (2001)
200,2.7142857142857144,7,3000 Miles to Graceland (2001)
201,4.125,4,"Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000)"
202,3.347826086956522,23,"Mexican, The (2001)"
203,3.5,2,"Caveman's Valentine, The (2001)"
204,2.5,2,Series 7: The Contenders (2001)
205,3.0,10,15 Minutes (2001)
206,2.75,4,Get Over It (2001)
207,4.0,1,Long Night's Journey Into Day (2000)
208,3.5125,40,Enemy at the Gates (2001)
209,2.75,2,Exit Wounds (2001)
210,4.0,7,"Dish, The (2001)"
211,4.122641509433962,159,Memento (2000)
212,2.15,10,Heartbreakers (2001)
213,2.125,4,Say It Isn't So (2001)
214,3.5,5,Someone Like You (2001)
215,2.9464285714285716,28,Spy Kids (2001)
216,2.0,6,Tomcats (2001)
217,3.2,5,"Tailor of Panama, The (2001)"
218,3.9347826086956523,23,Amores Perros (Love's a Bitch) (2000)
219,3.5,1,Keep the River on Your Right: A Modern Cannibal Tale (2000)
220,4.0,1,"Gleaners & I, The (Les glaneurs et la glaneuse) (2000)"
221,3.1470588235294117,17,Along Came a Spider (2001)
222,3.8137254901960786,51,Blow (2001)
223,2.0,1,Just Visiting (2001)
224,2.1,5,Pokémon 3: The Movie (2001)
225,2.0,1,Beautiful Creatures (2000)
226,4.0,1,Brigham City (2001)
227,3.623076923076923,65,Bridget Jones's Diary (2001)
228,2.380952380952381,21,Joe Dirt (2001)
229,1.75,6,Josie and the Pussycats (2001)
230,2.0,1,Chopper (2000)
231,3.25,2,"Circle, The (Dayereh) (2000)"
232,2.1923076923076925,13,Crocodile Dundee in Los Angeles (2001)
233,2.2,10,Freddy Got Fingered (2001)
234,3.6666666666666665,3,"Center of the World, The (2001)"
235,3.5,4,"Luzhin Defence, The (2000)"
236,2.0,1,"Visit, The (2000)"
237,3.0,5,Driven (2001)
238,3.4,5,One Night at McCool's (2001)
239,2.5,2,Town & Country (2001)
240,3.088888888888889,45,"Mummy Returns, The (2001)"
241,4.5,2,Under the Sand (2000)
242,3.341463414634146,41,"Knight's Tale, A (2001)"
243,4.0,3,Bread and Roses (2000)
244,3.6,5,Startup.com (2001)
245,1.625,4,Angel Eyes (2001)
246,3.8676470588235294,170,Shrek (2001)
247,4.5,1,"Fast Food, Fast Women (2000)"
248,3.590909090909091,55,Moulin Rouge (2001)
249,2.9651162790697674,43,Pearl Harbor (2001)
250,3.5,2,"Man Who Cried, The (2000)"
251,4.6,5,Yi Yi (2000)
252,2.1363636363636362,11,"Animal, The (2001)"
253,4.5,1,Big Eden (2000)
254,3.037037037037037,27,Evolution (2001)
255,3.1029411764705883,34,Swordfish (2001)
256,4.0,3,"Anniversary Party, The (2001)"
257,3.8333333333333335,3,Divided We Fall (Musíme si pomáhat) (2000)
258,3.3421052631578947,19,Atlantis: The Lost Empire (2001)
259,2.9,40,Lara Croft: Tomb Raider (2001)
260,2.3636363636363638,11,Dr. Dolittle 2 (2001)
261,3.066666666666667,45,"Fast and the Furious, The (2001)"
262,3.3392857142857144,56,A.I. Artificial Intelligence (2001)
263,0.5,1,Baby Boy (2001)
264,3.4,5,Crazy/Beautiful (2001)
265,3.1666666666666665,3,Pootie Tang (2001)
266,3.7142857142857144,14,Sexy Beast (2000)
267,3.857142857142857,7,"Princess and the Warrior, The (Krieger und die Kaiserin, Der) (2000)"
268,3.375,4,"Closet, The (Placard, Le) (2001)"
269,3.5,5,"Crimson Rivers, The (Rivières pourpres, Les) (2000)"
270,3.0,1,Lumumba (2000)
271,2.8181818181818183,11,Cats & Dogs (2001)
272,3.7777777777777777,9,Kiss of the Dragon (2001)
273,2.6538461538461537,26,Scary Movie 2 (2001)
274,3.625,4,Lost and Delirious (2001)
275,3.5,2,Rape Me (Baise-moi) (2000)
276,3.3548387096774195,31,Final Fantasy: The Spirits Within (2001)
277,3.15625,64,Legally Blonde (2001)
278,3.55,20,"Score, The (2001)"
279,2.0,1,Adanggaman (2000)
280,3.642857142857143,7,Bully (2001)
281,3.5,1,Jump Tomorrow (2001)
282,2.6666666666666665,6,Made (2001)
283,3.5,1,Michael Jordan to the Max (2000)
284,2.8472222222222223,36,Jurassic Park III (2001)
285,2.5833333333333335,18,America's Sweethearts (2001)
286,3.75,4,Brother (2000)
287,3.5,34,Ghost World (2001)
288,4.181818181818182,11,Hedwig and the Angry Inch (2000)
289,2.7448979591836733,49,Planet of the Apes (2001)
290,3.6666666666666665,3,Bread and Tulips (Pane e tulipani) (2000)
291,1.5,1,Greenfingers (2000)
292,3.642857142857143,7,Wet Hot American Summer (2001)
293,2.75,2,Original Sin (2001)
294,3.037037037037037,27,"Princess Diaries, The (2001)"
295,3.370967741935484,31,Rush Hour 2 (2001)
296,3.066666666666667,45,American Pie 2 (2001)
297,2.625,8,Osmosis Jones (2001)
298,3.6272727272727274,55,"Others, The (2001)"
299,2.125,4,American Outlaws (2001)
300,3.0,1,All Over the Guy (2001)
301,1.8333333333333333,3,"Deep End, The (2001)"
302,3.625,4,Session 9 (2001)
303,3.125,4,Captain Corelli's Mandolin (2001)
304,3.0555555555555554,18,Rat Race (2001)
305,1.8888888888888888,9,Bubble Boy (2001)
306,2.5,3,"Curse of the Jade Scorpion, The (2001)"
307,3.161764705882353,34,Jay and Silent Bob Strike Back (2001)
308,2.6,5,Ghosts of Mars (2001)
309,2.6666666666666665,3,Summer Catch (2001)
310,4.0,4,Happy Accidents (2000)
311,3.5,1,Maybe Baby (2000)
312,3.7142857142857144,7,Together (Tillsammans) (2000)
313,3.25,2,Tortilla Soup (2001)
314,2.5,7,Jeepers Creepers (2001)
315,3.625,4,O (2001)
316,1.5,2,"Musketeer, The (2001)"
317,2.5,3,Rock Star (2001)
318,4.0,1,Two Can Play That Game (2001)
319,4.333333333333333,3,L.I.E. (2001)
320,4.0,1,"Our Lady of the Assassins (Virgen de los sicarios, La) (2000)"
321,3.0,1,Into the Arms of Strangers: Stories of the Kindertransport (2000)
322,2.75,2,"Glass House, The (2001)"
323,2.6666666666666665,3,Hardball (2001)
324,3.5,1,Dinner Rush (2000)
325,3.0,4,Haiku Tunnel (2001)
326,2.1666666666666665,6,Big Trouble (2002)
327,0.5,1,Glitter (2001)
